type,name,playhq_org_page,logo_url_original,logo_url_128px
Association,Peel Cricket Association Inc.,https://www.playhq.com/cricket-australia/org/peel-cricket-association-inc/c8b4654f,https://res.cloudinary.com/playhq/image/upload/v1/production/ca/c8b4654f-7682-4c36-b8fb-6df00212a6d4/1685337770470/logo.jpg,https://res.cloudinary.com/playhq/image/upload/h_128,w_128/v1/production/ca/c8b4654f-7682-4c36-b8fb-6df00212a6d4/1685337770470/logo.jpg
Club,Halls Head Cricket Club,https://www.playhq.com/cricket-australia/org/halls-head-cricket-club/5fe82f6b,https://res.cloudinary.com/playhq/image/upload/v1/production/ca/5fe82f6b-ee78-4232-9910-f5343547c1c3/1687781014605/logo.png,https://res.cloudinary.com/playhq/image/upload/h_128,w_128/v1/production/ca/5fe82f6b-ee78-4232-9910-f5343547c1c3/1687781014605/logo.png
Club,White Knights Baldivis Cricket Club,https://www.playhq.com/cricket-australia/org/white-knights-baldivis-cricket-club/ce4b755c,https://res.cloudinary.com/playhq/image/upload/v1/production/ca/ce4b755c-9f9a-4e2d-a704-9410e401f32c/1728475140615/logo.jpg,https://res.cloudinary.com/playhq/image/upload/h_128,w_128/v1/production/ca/ce4b755c-9f9a-4e2d-a704-9410e401f32c/1728475140615/logo.jpg
Club,Waroona Cricket Club,https://www.playhq.com/cricket-australia/org/waroona-cricket-club/beff7c93,https://res.cloudinary.com/playhq/image/upload/v1/production/ca/beff7c93-60a7-4364-8a4f-dd450a99a3c7/1689172392105/logo.jpg,https://res.cloudinary.com/playhq/image/upload/h_128,w_128/v1/production/ca/beff7c93-60a7-4364-8a4f-dd450a99a3c7/1689172392105/logo.jpg
Club,Shoalwater Bay Cricket Club,https://www.playhq.com/cricket-australia/org/shoalwater-bay-cricket-club/004d3d9f,https://res.cloudinary.com/playhq/image/upload/v1/production/ca/004d3d9f-b518-4843-bbd2-78392844073e/1687068606779/logo.png,https://res.cloudinary.com/playhq/image/upload/h_128,w_128/v1/production/ca/004d3d9f-b518-4843-bbd2-78392844073e/1687068606779/logo.png
Club,Mandurah Cricket Club,https://www.playhq.com/cricket-australia/org/mandurah-cricket-club/84fe5d06,https://res.cloudinary.com/playhq/image/upload/v1/production/ca/84fe5d06-5eeb-4fe5-85d1-bf3fd59956aa/1689819925822/logo.png,https://res.cloudinary.com/playhq/image/upload/h_128,w_128/v1/production/ca/84fe5d06-5eeb-4fe5-85d1-bf3fd59956aa/1689819925822/logo.png
Club,Warnbro Swans Cricket Club,https://www.playhq.com/cricket-australia/org/warnbro-swans-cricket-club/a34f889b,https://res.cloudinary.com/playhq/image/upload/v1/production/ca/a34f889b-0ee6-407d-ad6a-ff867a1c8b30/1686818756568/logo.jpg,https://res.cloudinary.com/playhq/image/upload/h_128,w_128/v1/production/ca/a34f889b-0ee6-407d-ad6a-ff867a1c8b30/1686818756568/logo.jpg
Club,Pinjarra Cricket Club,https://www.playhq.com/cricket-australia/org/pinjarra-cricket-club/005087b1,https://res.cloudinary.com/playhq/image/upload/v1/production/ca/005087b1-3ecb-4e33-8635-f731a54c6a7e/1686889595900/logo.png,https://res.cloudinary.com/playhq/image/upload/h_128,w_128/v1/production/ca/005087b1-3ecb-4e33-8635-f731a54c6a7e/1686889595900/logo.png
Club,Singleton Irwinians Cricket Club,https://www.playhq.com/cricket-australia/org/singleton-irwinians-cricket-club/310ffe54,https://res.cloudinary.com/playhq/image/upload/v1/production/ca/310ffe54-bd81-4b03-8a15-f7b3e1f97ec3/1757554635167/logo.jpg,https://res.cloudinary.com/playhq/image/upload/h_128,w_128/v1/production/ca/310ffe54-bd81-4b03-8a15-f7b3e1f97ec3/1757554635167/logo.jpg
Club,Rockingham Hornets Cricket Club,https://www.playhq.com/cricket-australia/org/rockingham-hornets-cricket-club/218c4b17,https://res.cloudinary.com/playhq/image/upload/v1/production/ca/218c4b17-6214-4d97-bf9c-3dffe60c2202/1686818105336/logo.jpg,https://res.cloudinary.com/playhq/image/upload/h_128,w_128/v1/production/ca/218c4b17-6214-4d97-bf9c-3dffe60c2202/1686818105336/logo.jpg
Club,Secret Harbour Dockers Cricket Club,https://www.playhq.com/cricket-australia/org/secret-harbour-dockers-cricket-club/47bee109,https://res.cloudinary.com/playhq/image/upload/v1/production/ca/47bee109-8aa0-41d1-adb3-f7c835216bab/1728693382613/logo.jpg,https://res.cloudinary.com/playhq/image/upload/h_128,w_128/v1/production/ca/47bee109-8aa0-41d1-adb3-f7c835216bab/1728693382613/logo.jpg
Club,South Mandurah Cricket Club,https://www.playhq.com/cricket-australia/org/south-mandurah-cricket-club/b9d1dea7,https://res.cloudinary.com/playhq/image/upload/v1/production/ca/b9d1dea7-ea47-4c49-b7a5-0e87141d9644/1687664961809/logo.jpg,https://res.cloudinary.com/playhq/image/upload/h_128,w_128/v1/production/ca/b9d1dea7-ea47-4c49-b7a5-0e87141d9644/1687664961809/logo.jpg
Club (Colts only),Murdoch University Melville Cricket Club,https://www.playhq.com/cricket-australia/org/murdoch-university-melville-cricket-club/9b047d52,https://res.cloudinary.com/playhq/image/upload/v1/production/ca/9b047d52-35ab-4042-9265-17496a7ce212/1730419356851/logo.jpg,https://res.cloudinary.com/playhq/image/upload/h_128,w_128/v1/production/ca/9b047d52-35ab-4042-9265-17496a7ce212/1730419356851/logo.jpg
Visiting club - Female A 2025/26,SJ Blues Cricket Club,https://www.playhq.com/cricket-australia/org/sj-blues-cricket-club/1051340b,https://res.cloudinary.com/playhq/image/upload/v1/production/ca/1051340b-60fb-41d5-9e28-c04a2506beef/1687875426276/logo.jpg,https://res.cloudinary.com/playhq/image/upload/h_128,w_128/v1/production/ca/1051340b-60fb-41d5-9e28-c04a2506beef/1687875426276/logo.jpg
Visiting club - PPL T20 Cup 2024/25,Rockingham Mandurah Cricket Club (Mariners RMDCC),https://www.playhq.com/cricket-australia/org/rockingham-mandurah-cricket-club/c781d962,https://res.cloudinary.com/playhq/image/upload/v1/production/ca/c781d962-3078-4662-9ba7-e053d900c750/1690445947031/logo.jpg,https://res.cloudinary.com/playhq/image/upload/h_128,w_128/v1/production/ca/c781d962-3078-4662-9ba7-e053d900c750/1690445947031/logo.jpg
Visiting club - PPL T20 Cup 2024/25,Harvey Benger Cricket Club Inc,https://www.playhq.com/cricket-australia/org/harvey-benger-cricket-club-inc/769cd605,https://res.cloudinary.com/playhq/image/upload/v1/production/ca/769cd605-252b-4cf8-865c-f4b37cabe5c5/1688090649001/logo.png,https://res.cloudinary.com/playhq/image/upload/h_128,w_128/v1/production/ca/769cd605-252b-4cf8-865c-f4b37cabe5c5/1688090649001/logo.png
Visiting club - PPL T20 Cup 2023/24,Curtin Victoria Park Cricket Club,https://www.playhq.com/cricket-australia/org/curtin-victoria-park-cricket-club/32a36d4f,https://res.cloudinary.com/playhq/image/upload/v1/production/ca/32a36d4f-ab15-414d-9bcc-66f23e21f0ec/1759712248765/logo.jpg,https://res.cloudinary.com/playhq/image/upload/h_128,w_128/v1/production/ca/32a36d4f-ab15-414d-9bcc-66f23e21f0ec/1759712248765/logo.jpg
