Year,Grade,Competition,Venue,Match Date,Result,Man of the Match,Player,Captain,Batting Order
2006,A Grade,A GRADE,STAN TWIGHT EAST,2006-03-25,Halls Head 8/227 def MANDURAH 7/223,CARY GREEN,CARY GREEN,,1
2006,A Grade,A GRADE,STAN TWIGHT EAST,2006-03-25,Halls Head 8/227 def MANDURAH 7/223,CARY GREEN,NATHAN HOGG,,2
2006,A Grade,A GRADE,STAN TWIGHT EAST,2006-03-25,Halls Head 8/227 def MANDURAH 7/223,CARY GREEN,BRENDON KING,Yes,3
2006,A Grade,A GRADE,STAN TWIGHT EAST,2006-03-25,Halls Head 8/227 def MANDURAH 7/223,CARY GREEN,DALE BURNS,,4
2006,A Grade,A GRADE,STAN TWIGHT EAST,2006-03-25,Halls Head 8/227 def MANDURAH 7/223,CARY GREEN,PETER WYLLIE,,5
2006,A Grade,A GRADE,STAN TWIGHT EAST,2006-03-25,Halls Head 8/227 def MANDURAH 7/223,CARY GREEN,CHRIS PHELPS,,6
2006,A Grade,A GRADE,STAN TWIGHT EAST,2006-03-25,Halls Head 8/227 def MANDURAH 7/223,CARY GREEN,MICHAEL HOLMES,,7
2006,A Grade,A GRADE,STAN TWIGHT EAST,2006-03-25,Halls Head 8/227 def MANDURAH 7/223,CARY GREEN,MARK CHAPELHOW,,8
2006,A Grade,A GRADE,STAN TWIGHT EAST,2006-03-25,Halls Head 8/227 def MANDURAH 7/223,CARY GREEN,WAYNE REID,,9
2006,A Grade,A GRADE,STAN TWIGHT EAST,2006-03-25,Halls Head 8/227 def MANDURAH 7/223,CARY GREEN,ROD TREGENZA,,10
2006,A Grade,A GRADE,STAN TWIGHT EAST,2006-03-25,Halls Head 8/227 def MANDURAH 7/223,CARY GREEN,SIMON NOBLE,,11
2006,B Grade,B GRADE,CAREEBA,2006-03-25,Halls Head 8/164 def SAFETY BAY 162,,DARREN JEFFREY,,1
2006,B Grade,B GRADE,CAREEBA,2006-03-25,Halls Head 8/164 def SAFETY BAY 162,,MITCH GREEN,,2
2006,B Grade,B GRADE,CAREEBA,2006-03-25,Halls Head 8/164 def SAFETY BAY 162,,IAN BRAY,,3
2006,B Grade,B GRADE,CAREEBA,2006-03-25,Halls Head 8/164 def SAFETY BAY 162,,CHRIS BAKER,,4
2006,B Grade,B GRADE,CAREEBA,2006-03-25,Halls Head 8/164 def SAFETY BAY 162,,DARRYL MORGAN,,5
2006,B Grade,B GRADE,CAREEBA,2006-03-25,Halls Head 8/164 def SAFETY BAY 162,,DEAN FRISKIN,,6
2006,B Grade,B GRADE,CAREEBA,2006-03-25,Halls Head 8/164 def SAFETY BAY 162,,KARAN MEHTA,,7
2006,B Grade,B GRADE,CAREEBA,2006-03-25,Halls Head 8/164 def SAFETY BAY 162,,MICHAEL GRIFFITHS,,8
2006,B Grade,B GRADE,CAREEBA,2006-03-25,Halls Head 8/164 def SAFETY BAY 162,,JASON CLARKE,,9
2006,B Grade,B GRADE,CAREEBA,2006-03-25,Halls Head 8/164 def SAFETY BAY 162,,ANTHONY BROKATE,,10
2006,B Grade,B GRADE,CAREEBA,2006-03-25,Halls Head 8/164 def SAFETY BAY 162,,CHRIS HICKMAN,Yes,11
2006,B Grade,B GRADE,CAREEBA,2006-03-25,Halls Head 8/164 def SAFETY BAY 162,,DENNIS BLAND,,12
2007,A Grade,A GRADE,PEELWOOD #1,2007-03-24,Halls Head 8/211 def PINJARRA 210,PETER WYLLIE,DALE BURNS,,1
2007,A Grade,A GRADE,PEELWOOD #1,2007-03-24,Halls Head 8/211 def PINJARRA 210,PETER WYLLIE,LEIGH BURNS,,2
2007,A Grade,A GRADE,PEELWOOD #1,2007-03-24,Halls Head 8/211 def PINJARRA 210,PETER WYLLIE,MARK CHAPELHOW,,3
2007,A Grade,A GRADE,PEELWOOD #1,2007-03-24,Halls Head 8/211 def PINJARRA 210,PETER WYLLIE,BRENDON KING,,4
2007,A Grade,A GRADE,PEELWOOD #1,2007-03-24,Halls Head 8/211 def PINJARRA 210,PETER WYLLIE,PETER WYLLIE,,5
2007,A Grade,A GRADE,PEELWOOD #1,2007-03-24,Halls Head 8/211 def PINJARRA 210,PETER WYLLIE,CHRIS PHELPS,Yes,6
2007,A Grade,A GRADE,PEELWOOD #1,2007-03-24,Halls Head 8/211 def PINJARRA 210,PETER WYLLIE,CRAIG WHITE,,7
2007,A Grade,A GRADE,PEELWOOD #1,2007-03-24,Halls Head 8/211 def PINJARRA 210,PETER WYLLIE,MICK CARLTON,,8
2007,A Grade,A GRADE,PEELWOOD #1,2007-03-24,Halls Head 8/211 def PINJARRA 210,PETER WYLLIE,WADE BLOM,,9
2007,A Grade,A GRADE,PEELWOOD #1,2007-03-24,Halls Head 8/211 def PINJARRA 210,PETER WYLLIE,WAYNE REID,,10
2007,A Grade,A GRADE,PEELWOOD #1,2007-03-24,Halls Head 8/211 def PINJARRA 210,PETER WYLLIE,MATT GUYTON,,11
2007,A Grade,A GRADE,PEELWOOD #1,2007-03-24,Halls Head 8/211 def PINJARRA 210,PETER WYLLIE,ANTHONY BROKATE,,12
2008,C Grade,C GRADE,SINGLETON NORTH,2008-03-15,Halls Head 9/179 def PINJARRA 113,DENNIS BLAND,DARREN JEFFREY,Yes,1
2008,C Grade,C GRADE,SINGLETON NORTH,2008-03-15,Halls Head 9/179 def PINJARRA 113,DENNIS BLAND,DEAN FINLAY,,2
2008,C Grade,C GRADE,SINGLETON NORTH,2008-03-15,Halls Head 9/179 def PINJARRA 113,DENNIS BLAND,PETER WYLLIE,,3
2008,C Grade,C GRADE,SINGLETON NORTH,2008-03-15,Halls Head 9/179 def PINJARRA 113,DENNIS BLAND,ANDREW KELMAN,,4
2008,C Grade,C GRADE,SINGLETON NORTH,2008-03-15,Halls Head 9/179 def PINJARRA 113,DENNIS BLAND,KARAN MEHTA,,5
2008,C Grade,C GRADE,SINGLETON NORTH,2008-03-15,Halls Head 9/179 def PINJARRA 113,DENNIS BLAND,MARTIN CRUMP,,6
2008,C Grade,C GRADE,SINGLETON NORTH,2008-03-15,Halls Head 9/179 def PINJARRA 113,DENNIS BLAND,ROD TREGENZA,,7
2008,C Grade,C GRADE,SINGLETON NORTH,2008-03-15,Halls Head 9/179 def PINJARRA 113,DENNIS BLAND,CHRIS BAKER,,8
2008,C Grade,C GRADE,SINGLETON NORTH,2008-03-15,Halls Head 9/179 def PINJARRA 113,DENNIS BLAND,PETER BOYCE,,9
2008,C Grade,C GRADE,SINGLETON NORTH,2008-03-15,Halls Head 9/179 def PINJARRA 113,DENNIS BLAND,STEVE HOWELL,,10
2008,C Grade,C GRADE,SINGLETON NORTH,2008-03-15,Halls Head 9/179 def PINJARRA 113,DENNIS BLAND,DENNIS BLAND,,11
2008,C Grade,C GRADE,SINGLETON NORTH,2008-03-15,Halls Head 9/179 def PINJARRA 113,DENNIS BLAND,LEIGH ELDER,,12
2009,A Grade,A GRADE,STAN TWIGHT EAST,2009-03-23,Halls Head 195 def SHOALWATER 146,CHRIS PHELPS,DAVE LOVELL,,1
2009,A Grade,A GRADE,STAN TWIGHT EAST,2009-03-23,Halls Head 195 def SHOALWATER 146,CHRIS PHELPS,BRENNAN GILLAM,,2
2009,A Grade,A GRADE,STAN TWIGHT EAST,2009-03-23,Halls Head 195 def SHOALWATER 146,CHRIS PHELPS,CHRIS PHELPS,Yes,3
2009,A Grade,A GRADE,STAN TWIGHT EAST,2009-03-23,Halls Head 195 def SHOALWATER 146,CHRIS PHELPS,BRENDON KING,,4
2009,A Grade,A GRADE,STAN TWIGHT EAST,2009-03-23,Halls Head 195 def SHOALWATER 146,CHRIS PHELPS,DALE BURNS,,5
2009,A Grade,A GRADE,STAN TWIGHT EAST,2009-03-23,Halls Head 195 def SHOALWATER 146,CHRIS PHELPS,MITCH MORLEY,,6
2009,A Grade,A GRADE,STAN TWIGHT EAST,2009-03-23,Halls Head 195 def SHOALWATER 146,CHRIS PHELPS,JOSH PETERSON,,7
2009,A Grade,A GRADE,STAN TWIGHT EAST,2009-03-23,Halls Head 195 def SHOALWATER 146,CHRIS PHELPS,GRANT MATTHEWS,,8
2009,A Grade,A GRADE,STAN TWIGHT EAST,2009-03-23,Halls Head 195 def SHOALWATER 146,CHRIS PHELPS,MATT GUYTON,,9
2009,A Grade,A GRADE,STAN TWIGHT EAST,2009-03-23,Halls Head 195 def SHOALWATER 146,CHRIS PHELPS,MATT GORDON,,10
2009,A Grade,A GRADE,STAN TWIGHT EAST,2009-03-23,Halls Head 195 def SHOALWATER 146,CHRIS PHELPS,ROGER WREN,,11
2009,A Grade,A GRADE,STAN TWIGHT EAST,2009-03-23,Halls Head 195 def SHOALWATER 146,CHRIS PHELPS,LIAM BLAMPIED,,12
2009,C Grade,C GRADE,PEELWOOD #2,2009-03-28,Halls Head 2/75 def WAROONA 74,DARREN JEFFREY,DARREN JEFFREY,Yes,1
2009,C Grade,C GRADE,PEELWOOD #2,2009-03-28,Halls Head 2/75 def WAROONA 74,DARREN JEFFREY,DEAN FINLAY,,2
2009,C Grade,C GRADE,PEELWOOD #2,2009-03-28,Halls Head 2/75 def WAROONA 74,DARREN JEFFREY,ANDREW KELMAN,,3
2009,C Grade,C GRADE,PEELWOOD #2,2009-03-28,Halls Head 2/75 def WAROONA 74,DARREN JEFFREY,PETER WYLLIE,,4
2009,C Grade,C GRADE,PEELWOOD #2,2009-03-28,Halls Head 2/75 def WAROONA 74,DARREN JEFFREY,BRAD SMITH,,5
2009,C Grade,C GRADE,PEELWOOD #2,2009-03-28,Halls Head 2/75 def WAROONA 74,DARREN JEFFREY,ROD TREGENZA,,6
2009,C Grade,C GRADE,PEELWOOD #2,2009-03-28,Halls Head 2/75 def WAROONA 74,DARREN JEFFREY,CHRIS BAKER,,7
2009,C Grade,C GRADE,PEELWOOD #2,2009-03-28,Halls Head 2/75 def WAROONA 74,DARREN JEFFREY,IAN WHITE,,8
2009,C Grade,C GRADE,PEELWOOD #2,2009-03-28,Halls Head 2/75 def WAROONA 74,DARREN JEFFREY,ANDY WHITE,,9
2009,C Grade,C GRADE,PEELWOOD #2,2009-03-28,Halls Head 2/75 def WAROONA 74,DARREN JEFFREY,ANTHONY BROKATE,,10
2009,C Grade,C GRADE,PEELWOOD #2,2009-03-28,Halls Head 2/75 def WAROONA 74,DARREN JEFFREY,DENNIS BLAND,,11
2009,C Grade,C GRADE,PEELWOOD #2,2009-03-28,Halls Head 2/75 def WAROONA 74,DARREN JEFFREY,LEIGH ELDER,,12
2011,A Grade,A GRADE,PEELWOOD #1,2011-03-26,Halls Head 157 def PINJARRA 140,,BRENNAN GILLAM,,1
2011,A Grade,A GRADE,PEELWOOD #1,2011-03-26,Halls Head 157 def PINJARRA 140,,MITCHELL GREEN,,2
2011,A Grade,A GRADE,PEELWOOD #1,2011-03-26,Halls Head 157 def PINJARRA 140,,AL KRISTENSEN,,3
2011,A Grade,A GRADE,PEELWOOD #1,2011-03-26,Halls Head 157 def PINJARRA 140,,DALE BURNS,,4
2011,A Grade,A GRADE,PEELWOOD #1,2011-03-26,Halls Head 157 def PINJARRA 140,,BRENDON KING,,5
2011,A Grade,A GRADE,PEELWOOD #1,2011-03-26,Halls Head 157 def PINJARRA 140,,BRAD WISEMAN,,6
2011,A Grade,A GRADE,PEELWOOD #1,2011-03-26,Halls Head 157 def PINJARRA 140,,CARY GREEN,Yes,7
2011,A Grade,A GRADE,PEELWOOD #1,2011-03-26,Halls Head 157 def PINJARRA 140,,MICHAEL GRIFFITHS,,8
2011,A Grade,A GRADE,PEELWOOD #1,2011-03-26,Halls Head 157 def PINJARRA 140,,CHRIS PHELPS,,9
2011,A Grade,A GRADE,PEELWOOD #1,2011-03-26,Halls Head 157 def PINJARRA 140,,JOSH PETERSON,,10
2011,A Grade,A GRADE,PEELWOOD #1,2011-03-26,Halls Head 157 def PINJARRA 140,,MATTHEW GORDON,,11
2011,A Grade,A GRADE,PEELWOOD #1,2011-03-26,Halls Head 157 def PINJARRA 140,,PHIL HALL,,12
2013,A Grade,A GRADE,PINJARRA,2013-03-23,Halls Head 148 def WARNBRO SWANS 115,MATTHEW GORDON,CARY GREEN,,1
2013,A Grade,A GRADE,PINJARRA,2013-03-23,Halls Head 148 def WARNBRO SWANS 115,MATTHEW GORDON,RYAN BURNS,,2
2013,A Grade,A GRADE,PINJARRA,2013-03-23,Halls Head 148 def WARNBRO SWANS 115,MATTHEW GORDON,BRAD WISEMAN,,3
2013,A Grade,A GRADE,PINJARRA,2013-03-23,Halls Head 148 def WARNBRO SWANS 115,MATTHEW GORDON,JOSH PETERSON,,4
2013,A Grade,A GRADE,PINJARRA,2013-03-23,Halls Head 148 def WARNBRO SWANS 115,MATTHEW GORDON,STEPHEN INWARD,,5
2013,A Grade,A GRADE,PINJARRA,2013-03-23,Halls Head 148 def WARNBRO SWANS 115,MATTHEW GORDON,LIAM BLAMPIED,,6
2013,A Grade,A GRADE,PINJARRA,2013-03-23,Halls Head 148 def WARNBRO SWANS 115,MATTHEW GORDON,CHRIS PHELPS,,7
2013,A Grade,A GRADE,PINJARRA,2013-03-23,Halls Head 148 def WARNBRO SWANS 115,MATTHEW GORDON,BLAIR CARTWRIGHT,,8
2013,A Grade,A GRADE,PINJARRA,2013-03-23,Halls Head 148 def WARNBRO SWANS 115,MATTHEW GORDON,MICHAEL GRIFFITHS,Yes,9
2013,A Grade,A GRADE,PINJARRA,2013-03-23,Halls Head 148 def WARNBRO SWANS 115,MATTHEW GORDON,TIM LEES,,10
2013,A Grade,A GRADE,PINJARRA,2013-03-23,Halls Head 148 def WARNBRO SWANS 115,MATTHEW GORDON,BRYCE JEFFREY,,11
2013,A Grade,A GRADE,PINJARRA,2013-03-23,Halls Head 148 def WARNBRO SWANS 115,MATTHEW GORDON,MATTHEW GORDON,,12
2013,C Grade,C GRADE,PINJARRA,2013-03-23,Halls Head 6/128 def WHITE KNIGHTS 126,ELLIOT FOOTE,DAN McINNES,,1
2013,C Grade,C GRADE,PINJARRA,2013-03-23,Halls Head 6/128 def WHITE KNIGHTS 126,ELLIOT FOOTE,ANDREW KELMAN,,2
2013,C Grade,C GRADE,PINJARRA,2013-03-23,Halls Head 6/128 def WHITE KNIGHTS 126,ELLIOT FOOTE,JEFF DILLON,,3
2013,C Grade,C GRADE,PINJARRA,2013-03-23,Halls Head 6/128 def WHITE KNIGHTS 126,ELLIOT FOOTE,ANDREW WHITE,Yes,4
2013,C Grade,C GRADE,PINJARRA,2013-03-23,Halls Head 6/128 def WHITE KNIGHTS 126,ELLIOT FOOTE,DARREN JEFFREY,,5
2013,C Grade,C GRADE,PINJARRA,2013-03-23,Halls Head 6/128 def WHITE KNIGHTS 126,ELLIOT FOOTE,DAN KENNY,,6
2013,C Grade,C GRADE,PINJARRA,2013-03-23,Halls Head 6/128 def WHITE KNIGHTS 126,ELLIOT FOOTE,PETER BOYCE,,7
2013,C Grade,C GRADE,PINJARRA,2013-03-23,Halls Head 6/128 def WHITE KNIGHTS 126,ELLIOT FOOTE,ELLIOT FOOTE,,8
2013,C Grade,C GRADE,PINJARRA,2013-03-23,Halls Head 6/128 def WHITE KNIGHTS 126,ELLIOT FOOTE,AARON FITZPATRICK,,9
2013,C Grade,C GRADE,PINJARRA,2013-03-23,Halls Head 6/128 def WHITE KNIGHTS 126,ELLIOT FOOTE,ANDREW POCKLINGTON,,10
2013,C Grade,C GRADE,PINJARRA,2013-03-23,Halls Head 6/128 def WHITE KNIGHTS 126,ELLIOT FOOTE,DENNIS BLAND,,11
2013,C Grade,C GRADE,PINJARRA,2013-03-23,Halls Head 6/128 def WHITE KNIGHTS 126,ELLIOT FOOTE,MATHEW SKENGER,,12
2013,D Grade,D GRADE,DWELLINGUP,2013-03-23,Halls Head 7/174 def WHITE KNIGHTS 71,DAVE ALLEN,DEAN FINLAY,,1
2013,D Grade,D GRADE,DWELLINGUP,2013-03-23,Halls Head 7/174 def WHITE KNIGHTS 71,DAVE ALLEN,CRAIG FORBES,,2
2013,D Grade,D GRADE,DWELLINGUP,2013-03-23,Halls Head 7/174 def WHITE KNIGHTS 71,DAVE ALLEN,LEIGH BURNS,,3
2013,D Grade,D GRADE,DWELLINGUP,2013-03-23,Halls Head 7/174 def WHITE KNIGHTS 71,DAVE ALLEN,DAVE ALLEN,,4
2013,D Grade,D GRADE,DWELLINGUP,2013-03-23,Halls Head 7/174 def WHITE KNIGHTS 71,DAVE ALLEN,IAN BRAY,,5
2013,D Grade,D GRADE,DWELLINGUP,2013-03-23,Halls Head 7/174 def WHITE KNIGHTS 71,DAVE ALLEN,MATTHEW GUYTON,,6
2013,D Grade,D GRADE,DWELLINGUP,2013-03-23,Halls Head 7/174 def WHITE KNIGHTS 71,DAVE ALLEN,WES NAIDOO,,7
2013,D Grade,D GRADE,DWELLINGUP,2013-03-23,Halls Head 7/174 def WHITE KNIGHTS 71,DAVE ALLEN,CHRIS DERMAN,,8
2013,D Grade,D GRADE,DWELLINGUP,2013-03-23,Halls Head 7/174 def WHITE KNIGHTS 71,DAVE ALLEN,DOUG McCARTHY,,9
2013,D Grade,D GRADE,DWELLINGUP,2013-03-23,Halls Head 7/174 def WHITE KNIGHTS 71,DAVE ALLEN,JAMES WOODS,Yes,10
2013,D Grade,D GRADE,DWELLINGUP,2013-03-23,Halls Head 7/174 def WHITE KNIGHTS 71,DAVE ALLEN,ADAM WHITEHORN,,11
2013,D Grade,D GRADE,DWELLINGUP,2013-03-23,Halls Head 7/174 def WHITE KNIGHTS 71,DAVE ALLEN,ROD DIXON,,12
2014,A Grade,A GRADE,STAN TWIGHT RESERVE,2014-03-29,Halls Head def MANDURAH (WASHOUT),,CARY GREEN,,1
2014,A Grade,A GRADE,STAN TWIGHT RESERVE,2014-03-29,Halls Head def MANDURAH (WASHOUT),,ANDREW TATTERSON,,2
2014,A Grade,A GRADE,STAN TWIGHT RESERVE,2014-03-29,Halls Head def MANDURAH (WASHOUT),,BRAD WISEMAN,Yes,3
2014,A Grade,A GRADE,STAN TWIGHT RESERVE,2014-03-29,Halls Head def MANDURAH (WASHOUT),,JOSH PETERSON,,4
2014,A Grade,A GRADE,STAN TWIGHT RESERVE,2014-03-29,Halls Head def MANDURAH (WASHOUT),,STEPHEN INWARD,,5
2014,A Grade,A GRADE,STAN TWIGHT RESERVE,2014-03-29,Halls Head def MANDURAH (WASHOUT),,MITCH GREEN,,6
2014,A Grade,A GRADE,STAN TWIGHT RESERVE,2014-03-29,Halls Head def MANDURAH (WASHOUT),,CHRIS PHELPS,,7
2014,A Grade,A GRADE,STAN TWIGHT RESERVE,2014-03-29,Halls Head def MANDURAH (WASHOUT),,BLAIR CARTWRIGHT,,8
2014,A Grade,A GRADE,STAN TWIGHT RESERVE,2014-03-29,Halls Head def MANDURAH (WASHOUT),,RYAN BURNS,,9
2014,A Grade,A GRADE,STAN TWIGHT RESERVE,2014-03-29,Halls Head def MANDURAH (WASHOUT),,CAMERON BURRAGE,,10
2014,A Grade,A GRADE,STAN TWIGHT RESERVE,2014-03-29,Halls Head def MANDURAH (WASHOUT),,ASHLEY JEFFREY,,11
2014,A Grade,A GRADE,STAN TWIGHT RESERVE,2014-03-29,Halls Head def MANDURAH (WASHOUT),,MATTHEW GORDON,,12
2014,C Grade,C GRADE,SHOALWATER,2014-03-29,Halls Head def SHOALWATER (WASHOUT),,DAN BAKER,,1
2014,C Grade,C GRADE,SHOALWATER,2014-03-29,Halls Head def SHOALWATER (WASHOUT),,LEIGH BURNS,,2
2014,C Grade,C GRADE,SHOALWATER,2014-03-29,Halls Head def SHOALWATER (WASHOUT),,SHANNON WRIGHT,,3
2014,C Grade,C GRADE,SHOALWATER,2014-03-29,Halls Head def SHOALWATER (WASHOUT),,PETER WYLLIE,,4
2014,C Grade,C GRADE,SHOALWATER,2014-03-29,Halls Head def SHOALWATER (WASHOUT),,DALE BURNS,,5
2014,C Grade,C GRADE,SHOALWATER,2014-03-29,Halls Head def SHOALWATER (WASHOUT),,ALEX DILLON,,6
2014,C Grade,C GRADE,SHOALWATER,2014-03-29,Halls Head def SHOALWATER (WASHOUT),,MATTHEW REILLY,,7
2014,C Grade,C GRADE,SHOALWATER,2014-03-29,Halls Head def SHOALWATER (WASHOUT),,MATTHEW GUYTON,Yes,8
2014,C Grade,C GRADE,SHOALWATER,2014-03-29,Halls Head def SHOALWATER (WASHOUT),,DARREN JEFFREY,,9
2014,C Grade,C GRADE,SHOALWATER,2014-03-29,Halls Head def SHOALWATER (WASHOUT),,CHRIS BAKER,,10
2014,C Grade,C GRADE,SHOALWATER,2014-03-29,Halls Head def SHOALWATER (WASHOUT),,MITCHELL FELTON,,11
2014,C Grade,C GRADE,SHOALWATER,2014-03-29,Halls Head def SHOALWATER (WASHOUT),,JAKE WYLLIE,,12
2014,D Grade,D GRADE,CAREEBA,2014-03-29,Halls Head def WHITE KNIGHTS (WASHOUT),,DEAN FINLAY,,1
2014,D Grade,D GRADE,CAREEBA,2014-03-29,Halls Head def WHITE KNIGHTS (WASHOUT),,JEFF DILLON,Yes,2
2014,D Grade,D GRADE,CAREEBA,2014-03-29,Halls Head def WHITE KNIGHTS (WASHOUT),,MATTHEW LLOYD,,3
2014,D Grade,D GRADE,CAREEBA,2014-03-29,Halls Head def WHITE KNIGHTS (WASHOUT),,JOSHUA QUAID,,4
2014,D Grade,D GRADE,CAREEBA,2014-03-29,Halls Head def WHITE KNIGHTS (WASHOUT),,ANDREW WHITE,,5
2014,D Grade,D GRADE,CAREEBA,2014-03-29,Halls Head def WHITE KNIGHTS (WASHOUT),,GEOFF BUCHHOLZ,,6
2014,D Grade,D GRADE,CAREEBA,2014-03-29,Halls Head def WHITE KNIGHTS (WASHOUT),,DAVE ALLEN,,7
2014,D Grade,D GRADE,CAREEBA,2014-03-29,Halls Head def WHITE KNIGHTS (WASHOUT),,DAMIAN BURRAGE,,8
2014,D Grade,D GRADE,CAREEBA,2014-03-29,Halls Head def WHITE KNIGHTS (WASHOUT),,ROSS BURRAGE,,9
2014,D Grade,D GRADE,CAREEBA,2014-03-29,Halls Head def WHITE KNIGHTS (WASHOUT),,JAMES WOODS,,10
2014,D Grade,D GRADE,CAREEBA,2014-03-29,Halls Head def WHITE KNIGHTS (WASHOUT),,DOUG McCARTHY,,11
2014,D Grade,D GRADE,CAREEBA,2014-03-29,Halls Head def WHITE KNIGHTS (WASHOUT),,ROD DIXON,,12
2014,E Grade,E GRADE,WARNBRO,2014-03-29,Halls Head def WHITE KNIGHTS (WASHOUT),,JAYDEN MATTHEWS,,1
2014,E Grade,E GRADE,WARNBRO,2014-03-29,Halls Head def WHITE KNIGHTS (WASHOUT),,GLEN CRUICKSHANK,,2
2014,E Grade,E GRADE,WARNBRO,2014-03-29,Halls Head def WHITE KNIGHTS (WASHOUT),,ERIC COCKING,,3
2014,E Grade,E GRADE,WARNBRO,2014-03-29,Halls Head def WHITE KNIGHTS (WASHOUT),,CHRIS THOMAS,,4
2014,E Grade,E GRADE,WARNBRO,2014-03-29,Halls Head def WHITE KNIGHTS (WASHOUT),,MATT NEWTON,Yes,5
2014,E Grade,E GRADE,WARNBRO,2014-03-29,Halls Head def WHITE KNIGHTS (WASHOUT),,MATTHEW GUYTON,,6
2014,E Grade,E GRADE,WARNBRO,2014-03-29,Halls Head def WHITE KNIGHTS (WASHOUT),,MARK CRUICKSHANK,,7
2014,E Grade,E GRADE,WARNBRO,2014-03-29,Halls Head def WHITE KNIGHTS (WASHOUT),,RICHARD MULCAHY,,8
2014,E Grade,E GRADE,WARNBRO,2014-03-29,Halls Head def WHITE KNIGHTS (WASHOUT),,KYLE JEFFREY,,9
2014,E Grade,E GRADE,WARNBRO,2014-03-29,Halls Head def WHITE KNIGHTS (WASHOUT),,GLEN FIELDER,,10
2014,E Grade,E GRADE,WARNBRO,2014-03-29,Halls Head def WHITE KNIGHTS (WASHOUT),,SHAUN WILSON,,11
2014,E Grade,E GRADE,WARNBRO,2014-03-29,Halls Head def WHITE KNIGHTS (WASHOUT),,ADAM WHITEHORNE,,12
2016,B Grade,B GRADE,PEELWOOD #1,2016-03-12,Halls Head 5/83 def WHITE KNIGHTS BALDIVIS 81,,ALEX DILLON,,1
2016,B Grade,B GRADE,PEELWOOD #1,2016-03-12,Halls Head 5/83 def WHITE KNIGHTS BALDIVIS 81,,CAMERON LUCAS,,2
2016,B Grade,B GRADE,PEELWOOD #1,2016-03-12,Halls Head 5/83 def WHITE KNIGHTS BALDIVIS 81,,DANIEL HIGHAM,,3
2016,B Grade,B GRADE,PEELWOOD #1,2016-03-12,Halls Head 5/83 def WHITE KNIGHTS BALDIVIS 81,,PHIL HEAD,,4
2016,B Grade,B GRADE,PEELWOOD #1,2016-03-12,Halls Head 5/83 def WHITE KNIGHTS BALDIVIS 81,,DECLAN CHAPPELL,,5
2016,B Grade,B GRADE,PEELWOOD #1,2016-03-12,Halls Head 5/83 def WHITE KNIGHTS BALDIVIS 81,,ELLIOT FOOTE,,6
2016,B Grade,B GRADE,PEELWOOD #1,2016-03-12,Halls Head 5/83 def WHITE KNIGHTS BALDIVIS 81,,GRANT MATTHEWS,Yes,7
2016,B Grade,B GRADE,PEELWOOD #1,2016-03-12,Halls Head 5/83 def WHITE KNIGHTS BALDIVIS 81,,JOEL EVANS,,8
2016,B Grade,B GRADE,PEELWOOD #1,2016-03-12,Halls Head 5/83 def WHITE KNIGHTS BALDIVIS 81,,MICHAEL CHAPPELL,,9
2016,B Grade,B GRADE,PEELWOOD #1,2016-03-12,Halls Head 5/83 def WHITE KNIGHTS BALDIVIS 81,,PETER BOYCE,,10
