Year,Grade,Competition,Venue,Match Date,Result,Man of the Match,Player,Captain,Batting Order
2016,B Grade,B GRADE,PEELWOOD #1,2016-03-12,Halls Head 5/83 def WHITE KNIGHTS BALDIVIS 81,,REID KLOPPER,,11
2016,B Grade,B GRADE,PEELWOOD #1,2016-03-12,Halls Head 5/83 def WHITE KNIGHTS BALDIVIS 81,,TANNAH DUNNING,,12
2016,E Grade,E GRADE,PEELWOOD #3,2016-03-12,Halls Head 8/134 def WHITE KNIGHTS BALDIVIS 129,,BRETT KNIGHT,,1
2016,E Grade,E GRADE,PEELWOOD #3,2016-03-12,Halls Head 8/134 def WHITE KNIGHTS BALDIVIS 129,,CHRIS BAKER,,2
2016,E Grade,E GRADE,PEELWOOD #3,2016-03-12,Halls Head 8/134 def WHITE KNIGHTS BALDIVIS 129,,DOUG McCARTHY,,3
2016,E Grade,E GRADE,PEELWOOD #3,2016-03-12,Halls Head 8/134 def WHITE KNIGHTS BALDIVIS 129,,ERIC COCKING,,4
2016,E Grade,E GRADE,PEELWOOD #3,2016-03-12,Halls Head 8/134 def WHITE KNIGHTS BALDIVIS 129,,GREG STACK,,5
2016,E Grade,E GRADE,PEELWOOD #3,2016-03-12,Halls Head 8/134 def WHITE KNIGHTS BALDIVIS 129,,JACK SADLER,,6
2016,E Grade,E GRADE,PEELWOOD #3,2016-03-12,Halls Head 8/134 def WHITE KNIGHTS BALDIVIS 129,,JAKE WATSON,,7
2016,E Grade,E GRADE,PEELWOOD #3,2016-03-12,Halls Head 8/134 def WHITE KNIGHTS BALDIVIS 129,,JAYDEN MATTHEWS,,8
2016,E Grade,E GRADE,PEELWOOD #3,2016-03-12,Halls Head 8/134 def WHITE KNIGHTS BALDIVIS 129,,MATT NEWTON,,9
2016,E Grade,E GRADE,PEELWOOD #3,2016-03-12,Halls Head 8/134 def WHITE KNIGHTS BALDIVIS 129,,RIC MULCAHY,Yes,10
2016,E Grade,E GRADE,PEELWOOD #3,2016-03-12,Halls Head 8/134 def WHITE KNIGHTS BALDIVIS 129,,RODNEY WATT,,11
2016,E Grade,E GRADE,PEELWOOD #3,2016-03-12,Halls Head 8/134 def WHITE KNIGHTS BALDIVIS 129,,ZAC PERRY,,12
2016,F Grade,F GRADE,MEADOW SPRINGS #2,2016-03-12,Halls Head 5/53 def MANDURAH 50,CORBIN LITTLE,ASH WYBORN,Yes,1
2016,F Grade,F GRADE,MEADOW SPRINGS #2,2016-03-12,Halls Head 5/53 def MANDURAH 50,CORBIN LITTLE,CORBIN LITTLE,,2
2016,F Grade,F GRADE,MEADOW SPRINGS #2,2016-03-12,Halls Head 5/53 def MANDURAH 50,CORBIN LITTLE,DARRYL MULLER,,3
2016,F Grade,F GRADE,MEADOW SPRINGS #2,2016-03-12,Halls Head 5/53 def MANDURAH 50,CORBIN LITTLE,DREW LOARING,,4
2016,F Grade,F GRADE,MEADOW SPRINGS #2,2016-03-12,Halls Head 5/53 def MANDURAH 50,CORBIN LITTLE,GEOFFREY BUCHHOLZ,,5
2016,F Grade,F GRADE,MEADOW SPRINGS #2,2016-03-12,Halls Head 5/53 def MANDURAH 50,CORBIN LITTLE,JAMES FINLAY,,6
2016,F Grade,F GRADE,MEADOW SPRINGS #2,2016-03-12,Halls Head 5/53 def MANDURAH 50,CORBIN LITTLE,MARTIN CRUMP,,7
2016,F Grade,F GRADE,MEADOW SPRINGS #2,2016-03-12,Halls Head 5/53 def MANDURAH 50,CORBIN LITTLE,MASON AUSTIN,,8
2016,F Grade,F GRADE,MEADOW SPRINGS #2,2016-03-12,Halls Head 5/53 def MANDURAH 50,CORBIN LITTLE,MATTHEW KENNEWELL,,9
2016,F Grade,F GRADE,MEADOW SPRINGS #2,2016-03-12,Halls Head 5/53 def MANDURAH 50,CORBIN LITTLE,NATHAN PASCO,,10
2016,F Grade,F GRADE,MEADOW SPRINGS #2,2016-03-12,Halls Head 5/53 def MANDURAH 50,CORBIN LITTLE,PETER HARMER,,11
2016,F Grade,F GRADE,MEADOW SPRINGS #2,2016-03-12,Halls Head 5/53 def MANDURAH 50,CORBIN LITTLE,PETER KNIGHT,,12
2016,F Grade,F GRADE,MEADOW SPRINGS #2,2016-03-12,Halls Head 5/53 def MANDURAH 50,CORBIN LITTLE,RODNEY DIXON,,13
2017,B Grade,B GRADE,LARK HILL,2017-03-25,Halls Head 7/252 def WARNBRO SWANS 160,,ALEX DILLON,,1
2017,B Grade,B GRADE,LARK HILL,2017-03-25,Halls Head 7/252 def WARNBRO SWANS 160,,ANGUS KENT,,2
2017,B Grade,B GRADE,LARK HILL,2017-03-25,Halls Head 7/252 def WARNBRO SWANS 160,,CAMERON LUCAS,,3
2017,B Grade,B GRADE,LARK HILL,2017-03-25,Halls Head 7/252 def WARNBRO SWANS 160,,DECLAN CHAPPELL,,4
2017,B Grade,B GRADE,LARK HILL,2017-03-25,Halls Head 7/252 def WARNBRO SWANS 160,,GRANT MATTHEWS,Yes,5
2017,B Grade,B GRADE,LARK HILL,2017-03-25,Halls Head 7/252 def WARNBRO SWANS 160,,LEVI MULLER,,6
2017,B Grade,B GRADE,LARK HILL,2017-03-25,Halls Head 7/252 def WARNBRO SWANS 160,,LEWIS STARBUCK,,7
2017,B Grade,B GRADE,LARK HILL,2017-03-25,Halls Head 7/252 def WARNBRO SWANS 160,,MICHAEL CHAPPELL,,8
2017,B Grade,B GRADE,LARK HILL,2017-03-25,Halls Head 7/252 def WARNBRO SWANS 160,,MITCHELL FELTON,,9
2017,B Grade,B GRADE,LARK HILL,2017-03-25,Halls Head 7/252 def WARNBRO SWANS 160,,PETER BOYCE,,10
2017,B Grade,B GRADE,LARK HILL,2017-03-25,Halls Head 7/252 def WARNBRO SWANS 160,,REID KLOPPER,,11
2017,B Grade,B GRADE,LARK HILL,2017-03-25,Halls Head 7/252 def WARNBRO SWANS 160,,SAMUEL EVANS,,12
2017,C Grade,C GRADE,RONDA SCARRET WEST,2017-03-25,Halls Head 8/195 def MANDURAH 88,,ALEC SMITH,,1
2017,C Grade,C GRADE,RONDA SCARRET WEST,2017-03-25,Halls Head 8/195 def MANDURAH 88,,ANTHONY BROKATE,,2
2017,C Grade,C GRADE,RONDA SCARRET WEST,2017-03-25,Halls Head 8/195 def MANDURAH 88,,DALE BURNS,Yes,3
2017,C Grade,C GRADE,RONDA SCARRET WEST,2017-03-25,Halls Head 8/195 def MANDURAH 88,,DAMIAN BILLING,,4
2017,C Grade,C GRADE,RONDA SCARRET WEST,2017-03-25,Halls Head 8/195 def MANDURAH 88,,DARREN JEFFREY,,5
2017,C Grade,C GRADE,RONDA SCARRET WEST,2017-03-25,Halls Head 8/195 def MANDURAH 88,,ELLIOT FOOTE,,6
2017,C Grade,C GRADE,RONDA SCARRET WEST,2017-03-25,Halls Head 8/195 def MANDURAH 88,,JASON YOUNG,,7
2017,C Grade,C GRADE,RONDA SCARRET WEST,2017-03-25,Halls Head 8/195 def MANDURAH 88,,JESSE HICKMAN,,8
2017,C Grade,C GRADE,RONDA SCARRET WEST,2017-03-25,Halls Head 8/195 def MANDURAH 88,,LEIGH BURNS,,9
2017,C Grade,C GRADE,RONDA SCARRET WEST,2017-03-25,Halls Head 8/195 def MANDURAH 88,,RYAN BURNS,,10
2017,C Grade,C GRADE,RONDA SCARRET WEST,2017-03-25,Halls Head 8/195 def MANDURAH 88,,STEVE HOWELL,,11
2017,C Grade,C GRADE,RONDA SCARRET WEST,2017-03-25,Halls Head 8/195 def MANDURAH 88,,WES NAIDOO,,12
2017,E Grade,E GRADE,SINGLETON NORTH,2017-03-25,Halls Head 2/141 def SECRET HARBOUR DOCKERS 7/132,,BRETT KNIGHT,,1
2017,E Grade,E GRADE,SINGLETON NORTH,2017-03-25,Halls Head 2/141 def SECRET HARBOUR DOCKERS 7/132,,CRAIG LINES,,2
2017,E Grade,E GRADE,SINGLETON NORTH,2017-03-25,Halls Head 2/141 def SECRET HARBOUR DOCKERS 7/132,,DAVE SOMERS,Yes,3
2017,E Grade,E GRADE,SINGLETON NORTH,2017-03-25,Halls Head 2/141 def SECRET HARBOUR DOCKERS 7/132,,DYLAN MULCAHY,,4
2017,E Grade,E GRADE,SINGLETON NORTH,2017-03-25,Halls Head 2/141 def SECRET HARBOUR DOCKERS 7/132,,ERIC COCKING,,5
2017,E Grade,E GRADE,SINGLETON NORTH,2017-03-25,Halls Head 2/141 def SECRET HARBOUR DOCKERS 7/132,,GREG STACK,,6
2017,E Grade,E GRADE,SINGLETON NORTH,2017-03-25,Halls Head 2/141 def SECRET HARBOUR DOCKERS 7/132,,MASON AUSTIN,,7
2017,E Grade,E GRADE,SINGLETON NORTH,2017-03-25,Halls Head 2/141 def SECRET HARBOUR DOCKERS 7/132,,MICHAEL MACKENZIE,,8
2017,E Grade,E GRADE,SINGLETON NORTH,2017-03-25,Halls Head 2/141 def SECRET HARBOUR DOCKERS 7/132,,MICK MULCAHY,,9
2017,E Grade,E GRADE,SINGLETON NORTH,2017-03-25,Halls Head 2/141 def SECRET HARBOUR DOCKERS 7/132,,RIC MULCAHY,,10
2017,E Grade,E GRADE,SINGLETON NORTH,2017-03-25,Halls Head 2/141 def SECRET HARBOUR DOCKERS 7/132,,RODNEY WATT,,11
2017,E Grade,E GRADE,SINGLETON NORTH,2017-03-25,Halls Head 2/141 def SECRET HARBOUR DOCKERS 7/132,,SCOTT DUNNING,,12
2020,PPL,PPL,PEELWOOD RESERVE,2020-03-18,Premiership shared with PINJARRA (abandoned),,AARON BURRAGE,,1
2020,PPL,PPL,PEELWOOD RESERVE,2020-03-18,Premiership shared with PINJARRA (abandoned),,DAMIEN BURRAGE,,2
2020,PPL,PPL,PEELWOOD RESERVE,2020-03-18,Premiership shared with PINJARRA (abandoned),,ELLIOT FOOTE,,3
2020,PPL,PPL,PEELWOOD RESERVE,2020-03-18,Premiership shared with PINJARRA (abandoned),,JAKE WYLLIE,,4
2020,PPL,PPL,PEELWOOD RESERVE,2020-03-18,Premiership shared with PINJARRA (abandoned),,JAMES SKEELS,,5
2020,PPL,PPL,PEELWOOD RESERVE,2020-03-18,Premiership shared with PINJARRA (abandoned),,JAROD LITTLE,,6
2020,PPL,PPL,PEELWOOD RESERVE,2020-03-18,Premiership shared with PINJARRA (abandoned),,JOSH RUDGE,,7
2020,PPL,PPL,PEELWOOD RESERVE,2020-03-18,Premiership shared with PINJARRA (abandoned),,LEVI MULLER,,8
2020,PPL,PPL,PEELWOOD RESERVE,2020-03-18,Premiership shared with PINJARRA (abandoned),,LEWIS STARBUCK,,9
2020,PPL,PPL,PEELWOOD RESERVE,2020-03-18,Premiership shared with PINJARRA (abandoned),,MICHAEL CHAPPELL,,10
2020,PPL,PPL,PEELWOOD RESERVE,2020-03-18,Premiership shared with PINJARRA (abandoned),,MICHAEL GRIFFITHS,,11
2020,PPL,PPL,PEELWOOD RESERVE,2020-03-18,Premiership shared with PINJARRA (abandoned),,SCOTT MARTIN,,12
2021,Female B Grade,FEMALE B GRADE,PEELWOOD RESERVE OVAL 2,2021-03-14,Halls Head 5/138 def SECRET HARBOUR DOCKERS 6/90,,ANGE WILLIAMS,,1
2021,Female B Grade,FEMALE B GRADE,PEELWOOD RESERVE OVAL 2,2021-03-14,Halls Head 5/138 def SECRET HARBOUR DOCKERS 6/90,,BROOKE BURNS,,2
2021,Female B Grade,FEMALE B GRADE,PEELWOOD RESERVE OVAL 2,2021-03-14,Halls Head 5/138 def SECRET HARBOUR DOCKERS 6/90,,DANNI RENDER,,3
2021,Female B Grade,FEMALE B GRADE,PEELWOOD RESERVE OVAL 2,2021-03-14,Halls Head 5/138 def SECRET HARBOUR DOCKERS 6/90,,JULIE OPHEL,,4
2021,Female B Grade,FEMALE B GRADE,PEELWOOD RESERVE OVAL 2,2021-03-14,Halls Head 5/138 def SECRET HARBOUR DOCKERS 6/90,,KIM NICHOLSON,,5
2021,Female B Grade,FEMALE B GRADE,PEELWOOD RESERVE OVAL 2,2021-03-14,Halls Head 5/138 def SECRET HARBOUR DOCKERS 6/90,,MICHELLE MORGAN,,6
2021,Female B Grade,FEMALE B GRADE,PEELWOOD RESERVE OVAL 2,2021-03-14,Halls Head 5/138 def SECRET HARBOUR DOCKERS 6/90,,MONTANNA KELLY-WILSON,,7
2021,Female B Grade,FEMALE B GRADE,PEELWOOD RESERVE OVAL 2,2021-03-14,Halls Head 5/138 def SECRET HARBOUR DOCKERS 6/90,,NATASHA BRADLEY,,8
2021,Female B Grade,FEMALE B GRADE,PEELWOOD RESERVE OVAL 2,2021-03-14,Halls Head 5/138 def SECRET HARBOUR DOCKERS 6/90,,PHILIPPA WARREN,,9
2021,Female B Grade,FEMALE B GRADE,PEELWOOD RESERVE OVAL 2,2021-03-14,Halls Head 5/138 def SECRET HARBOUR DOCKERS 6/90,,SUELEE CHRISTIE,,10
2022,B Grade,B GRADE T20,STAN TWIGHT RESERVE OVAL #1,2022-12-17,Halls Head 7/134 def MANDURAH 10/72,,DUSTIN ROBINSON,Yes,1
2022,B Grade,B GRADE T20,STAN TWIGHT RESERVE OVAL #1,2022-12-17,Halls Head 7/134 def MANDURAH 10/72,,ISZAC WILLEY,,2
2022,B Grade,B GRADE T20,STAN TWIGHT RESERVE OVAL #1,2022-12-17,Halls Head 7/134 def MANDURAH 10/72,,JAMES SKEELS,,3
2022,B Grade,B GRADE T20,STAN TWIGHT RESERVE OVAL #1,2022-12-17,Halls Head 7/134 def MANDURAH 10/72,,JOE LOVELL,,4
2022,B Grade,B GRADE T20,STAN TWIGHT RESERVE OVAL #1,2022-12-17,Halls Head 7/134 def MANDURAH 10/72,,JOSH PETERSON,,5
2022,B Grade,B GRADE T20,STAN TWIGHT RESERVE OVAL #1,2022-12-17,Halls Head 7/134 def MANDURAH 10/72,,LEVI MULLER,,6
2022,B Grade,B GRADE T20,STAN TWIGHT RESERVE OVAL #1,2022-12-17,Halls Head 7/134 def MANDURAH 10/72,,MATTHEW GUYTON,,7
2022,B Grade,B GRADE T20,STAN TWIGHT RESERVE OVAL #1,2022-12-17,Halls Head 7/134 def MANDURAH 10/72,,MITCHELL MORLEY,,8
2022,B Grade,B GRADE T20,STAN TWIGHT RESERVE OVAL #1,2022-12-17,Halls Head 7/134 def MANDURAH 10/72,,PETER BOYCE,,9
2022,B Grade,B GRADE T20,STAN TWIGHT RESERVE OVAL #1,2022-12-17,Halls Head 7/134 def MANDURAH 10/72,,RICHARD WOODS,,10
2022,B Grade,B GRADE T20,STAN TWIGHT RESERVE OVAL #1,2022-12-17,Halls Head 7/134 def MANDURAH 10/72,,RYLAN ARMS,,11
2022,B Grade,B GRADE T20,STAN TWIGHT RESERVE OVAL #1,2022-12-17,Halls Head 7/134 def MANDURAH 10/72,,WES NAIDOO,,12
2022,D Grade,D GRADE RITCHIE CUP,PEELWOOD RESERVE OVAL 2,2022-03-26,Halls Head 58 def WHITE KNIGHTS BALDIVIS 44,,ADAM GRAY,,1
2022,D Grade,D GRADE RITCHIE CUP,PEELWOOD RESERVE OVAL 2,2022-03-26,Halls Head 58 def WHITE KNIGHTS BALDIVIS 44,,ALEC SMITH,,2
2022,D Grade,D GRADE RITCHIE CUP,PEELWOOD RESERVE OVAL 2,2022-03-26,Halls Head 58 def WHITE KNIGHTS BALDIVIS 44,,ANDREW POCKLINGTON,,3
2022,D Grade,D GRADE RITCHIE CUP,PEELWOOD RESERVE OVAL 2,2022-03-26,Halls Head 58 def WHITE KNIGHTS BALDIVIS 44,,ASH WYBORN,,4
2022,D Grade,D GRADE RITCHIE CUP,PEELWOOD RESERVE OVAL 2,2022-03-26,Halls Head 58 def WHITE KNIGHTS BALDIVIS 44,,BRAD MALINGRE,Yes,5
2022,D Grade,D GRADE RITCHIE CUP,PEELWOOD RESERVE OVAL 2,2022-03-26,Halls Head 58 def WHITE KNIGHTS BALDIVIS 44,,CORBIN LITTLE,,6
2022,D Grade,D GRADE RITCHIE CUP,PEELWOOD RESERVE OVAL 2,2022-03-26,Halls Head 58 def WHITE KNIGHTS BALDIVIS 44,,DALE BURNS,,7
2022,D Grade,D GRADE RITCHIE CUP,PEELWOOD RESERVE OVAL 2,2022-03-26,Halls Head 58 def WHITE KNIGHTS BALDIVIS 44,,DEBORAH HEAD,,8
2022,D Grade,D GRADE RITCHIE CUP,PEELWOOD RESERVE OVAL 2,2022-03-26,Halls Head 58 def WHITE KNIGHTS BALDIVIS 44,,JASON YOUNG,,9
2022,D Grade,D GRADE RITCHIE CUP,PEELWOOD RESERVE OVAL 2,2022-03-26,Halls Head 58 def WHITE KNIGHTS BALDIVIS 44,,MATTHEW GUYTON,,10
2022,D Grade,D GRADE RITCHIE CUP,PEELWOOD RESERVE OVAL 2,2022-03-26,Halls Head 58 def WHITE KNIGHTS BALDIVIS 44,,MICHAEL NIVEN,,11
2022,D Grade,D GRADE RITCHIE CUP,PEELWOOD RESERVE OVAL 2,2022-03-26,Halls Head 58 def WHITE KNIGHTS BALDIVIS 44,,PETER KNIGHT,,12
2022,D Grade,D GRADE RITCHIE CUP,PEELWOOD RESERVE OVAL 2,2022-03-26,Halls Head 58 def WHITE KNIGHTS BALDIVIS 44,,RYAN BURNS,,13
2023,A Grade,A GRADE WYLLIE CUP,,2023-03-25,Halls Head 8/153 def SHOALWATER BAY 68,,BLAKE ALLEN,,1
2023,A Grade,A GRADE WYLLIE CUP,,2023-03-25,Halls Head 8/153 def SHOALWATER BAY 68,,CHRIS PHELPS,,2
2023,A Grade,A GRADE WYLLIE CUP,,2023-03-25,Halls Head 8/153 def SHOALWATER BAY 68,,JACK MANUEL,,3
2023,A Grade,A GRADE WYLLIE CUP,,2023-03-25,Halls Head 8/153 def SHOALWATER BAY 68,,JAKE WYLLIE,,4
2023,A Grade,A GRADE WYLLIE CUP,,2023-03-25,Halls Head 8/153 def SHOALWATER BAY 68,,JAMES RUDGE,,5
2023,A Grade,A GRADE WYLLIE CUP,,2023-03-25,Halls Head 8/153 def SHOALWATER BAY 68,,JAROD LITTLE,,6
2023,A Grade,A GRADE WYLLIE CUP,,2023-03-25,Halls Head 8/153 def SHOALWATER BAY 68,,JOSH RUDGE,Yes,7
2023,A Grade,A GRADE WYLLIE CUP,,2023-03-25,Halls Head 8/153 def SHOALWATER BAY 68,,KEELAN BEATTIE,,8
2023,A Grade,A GRADE WYLLIE CUP,,2023-03-25,Halls Head 8/153 def SHOALWATER BAY 68,,LACHLAN KINNA,,9
2023,A Grade,A GRADE WYLLIE CUP,,2023-03-25,Halls Head 8/153 def SHOALWATER BAY 68,,MITCHELL FELTON,,10
2023,A Grade,A GRADE WYLLIE CUP,,2023-03-25,Halls Head 8/153 def SHOALWATER BAY 68,,SCOTT MARTIN,,11
2023,A Grade,A GRADE WYLLIE CUP,,2023-03-25,Halls Head 8/153 def SHOALWATER BAY 68,,TIMOTHY MILES,,12
2023,B Grade,B GRADE McINTOSH CUP,WARNBRO RECREATION RESERVE,2023-03-25,Halls Head 8/149 def MANDURAH 62,,DUSTIN ROBINSON,Yes,1
2023,B Grade,B GRADE McINTOSH CUP,WARNBRO RECREATION RESERVE,2023-03-25,Halls Head 8/149 def MANDURAH 62,,JACOB BARNES,,2
2023,B Grade,B GRADE McINTOSH CUP,WARNBRO RECREATION RESERVE,2023-03-25,Halls Head 8/149 def MANDURAH 62,,JAMES SKEELS,,3
2023,B Grade,B GRADE McINTOSH CUP,WARNBRO RECREATION RESERVE,2023-03-25,Halls Head 8/149 def MANDURAH 62,,JOSH PETERSON,,4
2023,B Grade,B GRADE McINTOSH CUP,WARNBRO RECREATION RESERVE,2023-03-25,Halls Head 8/149 def MANDURAH 62,,LEVI MULLER,,5
2023,B Grade,B GRADE McINTOSH CUP,WARNBRO RECREATION RESERVE,2023-03-25,Halls Head 8/149 def MANDURAH 62,,LEWIS STARBUCK,,6
2023,B Grade,B GRADE McINTOSH CUP,WARNBRO RECREATION RESERVE,2023-03-25,Halls Head 8/149 def MANDURAH 62,,MATTHEW GUYTON,,7
2023,B Grade,B GRADE McINTOSH CUP,WARNBRO RECREATION RESERVE,2023-03-25,Halls Head 8/149 def MANDURAH 62,,MITCHELL MORLEY,,8
2023,B Grade,B GRADE McINTOSH CUP,WARNBRO RECREATION RESERVE,2023-03-25,Halls Head 8/149 def MANDURAH 62,,PETER BOYCE,,9
2023,B Grade,B GRADE McINTOSH CUP,WARNBRO RECREATION RESERVE,2023-03-25,Halls Head 8/149 def MANDURAH 62,,RICHARD WOODS,,10
2023,B Grade,B GRADE McINTOSH CUP,WARNBRO RECREATION RESERVE,2023-03-25,Halls Head 8/149 def MANDURAH 62,,TYLER NAIDOO,,11
2023,B Grade,B GRADE McINTOSH CUP,WARNBRO RECREATION RESERVE,2023-03-25,Halls Head 8/149 def MANDURAH 62,,WES NAIDOO,,12
2023,D Grade,MID-YEAR T20 D GRADE,PEELWOOD RESERVE,2023-12-16,Halls Head 2/109 def WHITE KNIGHTS BALDIVIS GOLD 7/108,,ALEC SMITH,Yes,1
2023,D Grade,MID-YEAR T20 D GRADE,PEELWOOD RESERVE,2023-12-16,Halls Head 2/109 def WHITE KNIGHTS BALDIVIS GOLD 7/108,,ASH WYBORN,,2
2023,D Grade,MID-YEAR T20 D GRADE,PEELWOOD RESERVE,2023-12-16,Halls Head 2/109 def WHITE KNIGHTS BALDIVIS GOLD 7/108,,BODIE TERBEEKE,,3
2023,D Grade,MID-YEAR T20 D GRADE,PEELWOOD RESERVE,2023-12-16,Halls Head 2/109 def WHITE KNIGHTS BALDIVIS GOLD 7/108,,DAVID ALLEN,,4
2023,D Grade,MID-YEAR T20 D GRADE,PEELWOOD RESERVE,2023-12-16,Halls Head 2/109 def WHITE KNIGHTS BALDIVIS GOLD 7/108,,GRANT MATTHEWS,,5
2023,D Grade,MID-YEAR T20 D GRADE,PEELWOOD RESERVE,2023-12-16,Halls Head 2/109 def WHITE KNIGHTS BALDIVIS GOLD 7/108,,GURNOOR SINGH,,6
2023,D Grade,MID-YEAR T20 D GRADE,PEELWOOD RESERVE,2023-12-16,Halls Head 2/109 def WHITE KNIGHTS BALDIVIS GOLD 7/108,,JASON YOUNG,,7
2023,D Grade,MID-YEAR T20 D GRADE,PEELWOOD RESERVE,2023-12-16,Halls Head 2/109 def WHITE KNIGHTS BALDIVIS GOLD 7/108,,NOAH FRUNKS,,8
2023,D Grade,MID-YEAR T20 D GRADE,PEELWOOD RESERVE,2023-12-16,Halls Head 2/109 def WHITE KNIGHTS BALDIVIS GOLD 7/108,,RUSSELL MOFFAT,,9
2023,D Grade,MID-YEAR T20 D GRADE,PEELWOOD RESERVE,2023-12-16,Halls Head 2/109 def WHITE KNIGHTS BALDIVIS GOLD 7/108,,SAMUEL SMITH,,10
2023,D Grade,MID-YEAR T20 D GRADE,PEELWOOD RESERVE,2023-12-16,Halls Head 2/109 def WHITE KNIGHTS BALDIVIS GOLD 7/108,,THOMAS SMITH,,11
2023,PPL,RETRAVISION PREMIER T20 LEAGUE,PEELWOOD RESERVE OVAL 1,2023-02-08,Halls Head 8/105 def SHOALWATER BAY 96,,AARON BURRAGE,,1
2023,PPL,RETRAVISION PREMIER T20 LEAGUE,PEELWOOD RESERVE OVAL 1,2023-02-08,Halls Head 8/105 def SHOALWATER BAY 96,,CHRISTOPHER DAVENPORT,,2
2023,PPL,RETRAVISION PREMIER T20 LEAGUE,PEELWOOD RESERVE OVAL 1,2023-02-08,Halls Head 8/105 def SHOALWATER BAY 96,,ISZAC WILLEY,,3
2023,PPL,RETRAVISION PREMIER T20 LEAGUE,PEELWOOD RESERVE OVAL 1,2023-02-08,Halls Head 8/105 def SHOALWATER BAY 96,,JACK MANUEL,Yes,4
2023,PPL,RETRAVISION PREMIER T20 LEAGUE,PEELWOOD RESERVE OVAL 1,2023-02-08,Halls Head 8/105 def SHOALWATER BAY 96,,JAKE WYLLIE,,5
2023,PPL,RETRAVISION PREMIER T20 LEAGUE,PEELWOOD RESERVE OVAL 1,2023-02-08,Halls Head 8/105 def SHOALWATER BAY 96,,JAMES RUDGE,,6
2023,PPL,RETRAVISION PREMIER T20 LEAGUE,PEELWOOD RESERVE OVAL 1,2023-02-08,Halls Head 8/105 def SHOALWATER BAY 96,,JOSH RUDGE,,7
2023,PPL,RETRAVISION PREMIER T20 LEAGUE,PEELWOOD RESERVE OVAL 1,2023-02-08,Halls Head 8/105 def SHOALWATER BAY 96,,KEELAN BEATTIE,,8
2023,PPL,RETRAVISION PREMIER T20 LEAGUE,PEELWOOD RESERVE OVAL 1,2023-02-08,Halls Head 8/105 def SHOALWATER BAY 96,,RICHARD WOODS,,9
2023,PPL,RETRAVISION PREMIER T20 LEAGUE,PEELWOOD RESERVE OVAL 1,2023-02-08,Halls Head 8/105 def SHOALWATER BAY 96,,SCOTT MARTIN,,10
2023,PPL,RETRAVISION PREMIER T20 LEAGUE,PEELWOOD RESERVE OVAL 1,2023-02-08,Halls Head 8/105 def SHOALWATER BAY 96,,TIMOTHY MILES,,11
2023,PPL,RETRAVISION PREMIER T20 LEAGUE,PEELWOOD RESERVE OVAL 1,2023-02-08,Halls Head 8/105 def SHOALWATER BAY 96,,WES NAIDOO,,12
2024,A Grade,A GRADE WYLLIE CUP,SIR ROSS McLARTY PARK,2024-03-16,Halls Head 8/246 def PINJARRA 118,,ANGUS BEATTIE,,1
2024,A Grade,A GRADE WYLLIE CUP,SIR ROSS McLARTY PARK,2024-03-16,Halls Head 8/246 def PINJARRA 118,,CHRIS PHELPS,,2
